name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile
Kitami,43.770900,143.820100,3.0,2025-05-03,2025-04-21,12,0,7.90,19.0
Kitami,43.770900,143.820100,3.0,2025-05-04,2025-04-21,13,0,3.50,20.2
Kitami,43.770900,143.820100,3.0,2025-05-05,2025-04-21,14,1,2.70,10.4
Kitami,43.770900,143.820100,3.0,2025-05-06,2025-04-21,15,1,1.40,3.5
Kitami,43.770900,143.820100,3.0,2025-05-07,2025-04-21,16,1,1.10,3.1
Chitose,42.923800,141.772500,-1.0,2025-04-21,2025-04-21,0,0,2.20,0.0
Chitose,42.923800,141.772500,-1.0,2025-04-22,2025-04-21,1,0,1.40,0.0
Chitose,42.923800,141.772500,-1.0,2025-04-23,2025-04-21,2,0,3.70,0.0
Chitose,42.923800,141.772500,-1.0,2025-04-24,2025-04-21,3,0,4.70,0.0
Chitose,42.923800,141.772500,-1.0,2025-04-25,2025-04-21,4,0,2.50,0.0
Chitose,42.923800,141.772500,-1.0,2025-04-26,2025-04-21,5,0,2.00,0.0
Chitose,42.923800,141.772500,-1.0,2025-04-27,2025-04-21,6,0,1.40,0.0
